standart_names,ADR,Raiting
флавозид,"{'Нет ADR': 21, 'Конверсионное расстройство': 2, 'Раздражительность': 1, 'Психологическое расстройство': 1}",Плохой: не помогает
флюколд,"{'Нет ADR': 74, 'Боль в ротоглотке (орофарингеальная)': 4, 'Ринорея': 2, 'Кашель': 1, 'Боль': 1, 'Стресс': 1, 'Раздражительность': 1, 'Нервозность': 1, 'Бессонница': 1, 'Профилактика': 3, 'Чихание': 1, 'Озноб': 1}","Хороший, но есть ADR"
фурацилин,{'Нет ADR': 2},Плохой
хелпекс антиколд,"{'Нет ADR': 75, 'Расстройство поведения': 2, 'Бессонница': 3, 'Гнев': 1}",Плохой: частные побочные реакции
хиберикс,"{'Профилактика': 1, 'Нет ADR': 18}","Хороший, но есть ADR"
хлогексидин,{'Нет ADR': 2},Плохой
хьюмер,{'Нет ADR': 2},Плохой
цeфотаксим,{'Нет ADR': 1},Плохой
ценнаризин,{'Нет ADR': 2},Плохой
цераксон,"{'Нет ADR': 23, 'Зуд': 1}",Плохой: не помогает
церебролизат,{'Нет ADR': 10},Хороший
циклоферон,"{'Нет ADR': 77, 'Пирексия': 1, 'Кашель': 1, 'Ринорея': 3, 'Повышенная температура тела': 1, 'Боль в ротоглотке (орофарингеальная)': 1, 'Нервозность': 1, 'Профилактика': 3}",Плохой
циннаризин,{'Нет ADR': 8},Плохой: частные побочные реакции
цитовир-3,{'Нет ADR': 8},Хороший
цитрамон,{'Нет ADR': 2},Плохой: не помогает
чистонос спрей,"{'Нет ADR': 11, 'Профилактика': 1}",Плохой
шиповника сироп,{'Нет ADR': 1},Плохой
эвкабал,"{'Нет ADR': 17, 'Раздражительность': 1}",Плохой: частные побочные реакции
эвкабал бальзам с,"{'Раздражительность': 1, 'Агрессия': 1, 'Нет ADR': 25}","Хороший, но есть ADR"
эглонил,"{'Нет ADR': 8, 'Нервозность': 1, 'Психологическое расстройство': 1, 'Раздражительность': 1}",Плохой: не помогает
экстракт календулы,{'Нет ADR': 7},Плохой: частные побочные реакции
экстракт эхинацеи,{'Нет ADR': 4},Плохой: частные побочные реакции
энгистол,{'Нет ADR': 29},Плохой: частные побочные реакции
энцефабол,"{'Нет ADR': 112, 'Профилактика': 2, 'Заложенность носа': 1, 'Ринорея': 3, 'Ринит': 1}","Хороший, но есть ADR"
эразабан,"{'Нет ADR': 25, 'Повышенная температура тела': 2, 'Пирексия': 1}",Плохой
эргоферон,"{'Нет ADR': 181, 'Кашель': 5, 'Заложенность носа': 1, 'Отек': 1, 'Миалгия': 1, 'Першение в горле': 1, 'Воспаление': 2, 'Профилактика': 3, 'Боль в ротоглотке (орофарингеальная)': 1, 'Ринорея': 2, 'Стресс': 1, 'Напряженное состояние': 1, 'Невроз': 1, 'Чувство тревоги': 1, 'Паническая реакция': 1}",Плохой: частные побочные реакции
эреспал,"{'Нет ADR': 1, 'Кашель': 1}",Плохой
эхинацеи настойка,"{'Нет ADR': 36, 'Кашель': 1, 'Профилактика': 1}",Плохой: частные побочные реакции
эхинацея,"{'Нет ADR': 33, 'Озноб': 2, 'Нервозность': 1}","Хороший, но есть ADR"
