Drug,ADR_all,ADR_top5,Quality,Fold
дуовит,Тошнота; Гиперчувствительность; Головная боль; Сыпь; Чувство дискомфорта в груди,Тошнота; Гиперчувствительность; Головная боль; Сыпь; Чувство дискомфорта в груди,плохой,1
тилорон,Головокружение; Тошнота; Отклонения от нормы артериального давления; Гиперчувствительность; Головная боль,Головокружение; Тошнота; Отклонения от нормы артериального давления; Гиперчувствительность; Головная боль,плохой,5
лавомакс,Диарея; Потеря сознания; Ощущение жара; Пирексия; Сыпь; Зуд; Тремор; Расстройство зрения; Астения; Боль в верхних отделах живота; Тиннитус; Гипергидроз; Боль в костях; Артралгия; Рубец; Тошнота; Стенокардия,Диарея; Потеря сознания; Ощущение жара; Пирексия; Сыпь,"плохой, не помогает",5
лактофильтрум,Головная боль; Кашель; Головокружение; Ощущение тревоги; Повышение артериального давления; Боль в животе; Функциональная желудочно-кишечная патология; Тиннитус; Дисбиоз; Сухая кожа; Сомнолентность; Снижение аппетита; Тошнота; Сухость во рту,Головная боль; Кашель; Головокружение; Ощущение тревоги; Повышение артериального давления,"плохой, частые побочные реакции",3
цитовир-3,"Гиперчувствительность; Кашель; Головная боль; Головокружение; Ощущение тревоги; Повышение артериального давления; Переносимость препарата; Снижение аппетита; Сыпь, макулезная; Пирексия",Гиперчувствительность; Кашель; Головная боль; Головокружение; Ощущение тревоги,плохой,2
базирон,Десквамация в месте применения; Воспаление; Ожог в месте применения; Зуд; Кожное раздражение; Химический ожог кожи,Десквамация в месте применения; Воспаление; Ожог в месте применения; Зуд; Кожное раздражение,"плохой, частые побочные реакции",3
базирон ас,Десквамация в месте применения; Воспаление; Ожог в месте применения,Десквамация в месте применения; Воспаление; Ожог в месте применения,плохой,3
кетолонг,,,хороший,5
димедрол,Гиперчувствительность; Сомнолентность; Тошнота; Головная боль; Крапивница; Асцит; Периферический отек; Усталость; Задержка мочи; Сухость во рту; Головокружение; Переносимость препарата; Аффективная лабильность; Даже легкие раны очень медленно заживают; Депрессия; Остеонекроз; Снижение уровня калия в крови; Патология желудочно-кишечного тракта; Перепады настроения; Тахикардия; Угри; Нарушение со стороны иммунной системы; Себорея; Плач; Расстройство личности; Кожные стрии; Костная денситометрия; Астения,Гиперчувствительность; Сомнолентность; Тошнота; Головная боль; Крапивница,"хороший, но есть побочные реакции",4
персен форте,Гиперчувствительность,Гиперчувствительность,"хороший, но есть побочные реакции",1
азитромицин,Тошнота; Боль в животе; Диарея; Усталость; Сомнолентность; Боль; Флатуленция; Повышенная температура тела; Пирексия; Вялость; Боль в ротоглотке (орофарингеальная); Тонзиллит; Сердцебиение; Головная боль; Абдоминальный дискомфорт; Перевозбуждение; Депрессия; Ажитация; Инфаркт,Тошнота; Боль в животе; Диарея; Усталость; Сомнолентность,"плохой, частые побочные реакции",2
сумамед,Боль в животе; Повышенная температура тела; Пирексия; Дисгевзия; Нарушение со стороны печени; Боль; Флатуленция; Диарея,Боль в животе; Повышенная температура тела; Пирексия; Дисгевзия; Нарушение со стороны печени,"плохой, частые побочные реакции",1
ново-пассит,Сомнолентность; Головокружение; Снижение артериального давления; Боль в верхних отделах живота; Астения; Акародерматит; Переносимость препарата; Заложенность носа; храпящего мужа хотелось прибить; Кожное раздражение; Зуд,Сомнолентность; Головокружение; Снижение артериального давления; Боль в верхних отделах живота; Астения,"плохой, не помогает",2
гексикон,"Ощущение жжения в вульвовагинальной области; Чувство жжения; Влагалищное кровоизлияние; Вагинальные выделения; Боль; Маточное кровотечение; Абдоминальный дискомфорт; Поллакиурия; Нежелательная лекарственная реакция; Дискомфорт; Вульвовагинальный дискомфорт; Боль в животе; Боль внизу живота; Снижение либидо; Зуд; Вульвовагинальная эритема; Сухость в вульвовагинальной области; Зуд, генитальный; Инфекция, обусловленная грибами рода Candida; Гиперчувствительность",Ощущение жжения в вульвовагинальной области; Чувство жжения; Влагалищное кровоизлияние; Вагинальные выделения; Боль,плохой,2
бифидобактерии,Диспепсия,Диспепсия,плохой,3
лактобактерин,Диспепсия; Отрыжка; Плач; Флатуленция,Диспепсия; Отрыжка; Плач; Флатуленция,"плохой, частые побочные реакции",5
бифидум,Диспепсия,Диспепсия,"плохой, частые побочные реакции",2
биовестин,Диспепсия,Диспепсия,"плохой, частые побочные реакции",1
пенициллин,Потеря сознания; Гиперчувствительность,Потеря сознания; Гиперчувствительность,"плохой, не помогает",2
хлогексидин,Химический ожог; Боль; Дискомфорт; Боль в месте применения,Химический ожог; Боль; Дискомфорт; Боль в месте применения,"плохой, не помогает",4
новирин,Диарея; Химический ожог; Гиперчувствительность; Сомнолентность,Диарея; Химический ожог; Гиперчувствительность; Сомнолентность,"хороший, но есть побочные реакции",3
антигриппин максимум,Нежелательная лекарственная реакция,Нежелательная лекарственная реакция,"хороший, но есть побочные реакции",5
омепразол,Головная боль; Диспепсия; Почечная колика; Боль; Зуд; Дискомфорт; Патология желудочно-кишечного тракта; Диарея; Абдоминальный дискомфорт,Головная боль; Диспепсия; Почечная колика; Боль; Зуд,"плохой, частые побочные реакции",1
актовир,,,хороший,3
фенибут,Боль в верхних отделах живота; Ажитация; Сомнолентность; Зависимость; Дискомфорт; Диспепсия; Абдоминальный дискомфорт; Тошнота; Головная боль; Нарушение засыпания; Переносимость препарата; Галлюцинация; Кашель; Психомоторная гиперактивность; Снижение артериального давления; Необычные сновидения; Чувство тревоги; Депрессия; Раздражительность; Агрессия; Бессонница; Апатия,Боль в верхних отделах живота; Ажитация; Сомнолентность; Зависимость; Дискомфорт,"плохой, частые побочные реакции",5
киндинорм,,,хороший,1
лимон,,,хороший,5
чистонос спрей,,,хороший,5
изотонический раствор очищенной морской воды,,,хороший,2
экстракт календулы,,,хороший,1
физраствор,плохо с сердцем; Боль; Ощущение жара; Дисгевзия; Аритмия; Зуд; Частота сердечных сокращений выше нормы; Отравление; Прилив жара; Одышка; Астения; Головокружение; Сухость во рту,плохо с сердцем; Боль; Ощущение жара; Дисгевзия; Аритмия,плохой,5
пантенол,Боль кожных покровов; Сухая кожа; Боль; Эритема; Ожог в месте применения,Боль кожных покровов; Сухая кожа; Боль; Эритема; Ожог в месте применения,"плохой, частые побочные реакции",5
фервекс для детей,,,хороший,1
танакан,,,хороший,1
vitrum,Гиперчувствительность; Сыпь; Зуд; Сомнолентность; Головокружение; Дерматит,Гиперчувствительность; Сыпь; Зуд; Сомнолентность; Головокружение,"плохой, частые побочные реакции",3
кальция гопантенат,,,хороший,1
доктор пласт,Изменение цвета кожи в месте применения,Изменение цвета кожи в месте применения,плохой,3
ацикловир форте,Сомнолентность; Астения; Головная боль,Сомнолентность; Астения; Головная боль,"хороший, но есть побочные реакции",5
классический,Дискомфорт; Раздражение глаз; Боль в глазу; Гиперсекреторное слезоотделение; Ощущение присутствия стороннего тела в глазу,Дискомфорт; Раздражение глаз; Боль в глазу; Гиперсекреторное слезоотделение; Ощущение присутствия стороннего тела в глазу,плохой,2
визин,Раздражение глаз; Гиперсекреторное слезоотделение; Дискомфорт; Боль в глазу; Ощущение присутствия стороннего тела в глазу; Неестественные ощущения в глазу; Расстройство зрения; Чувство жжения; Боль в месте применения,Раздражение глаз; Гиперсекреторное слезоотделение; Дискомфорт; Боль в глазу; Ощущение присутствия стороннего тела в глазу,"плохой, частые побочные реакции",1
нитроксолин,Гиперчувствительность; Сыпь; Тик; Сердцебиение; Тахикардия; Бессонница,Гиперчувствительность; Сыпь; Тик; Сердцебиение; Тахикардия,"хороший, но есть побочные реакции",3
5 нок,Гиперчувствительность; Сыпь; Тик; Сердцебиение; Тахикардия; Бессонница,Гиперчувствительность; Сыпь; Тик; Сердцебиение; Тахикардия,"хороший, но есть побочные реакции",2
иммуноглобулиновый комплексный препарат (кип),Расстройство приема пищи; Патология желудка; Гиперчувствительность,Расстройство приема пищи; Патология желудка; Гиперчувствительность,"плохой, частые побочные реакции",3
пиобактериофаг комплексный,Расстройство приема пищи; Патология желудка; Гиперчувствительность,Расстройство приема пищи; Патология желудка; Гиперчувствительность,"плохой, частые побочные реакции",3
валвир,,,хороший,3
трава пустырника,,,хороший,1
эссливер форте,Боль в верхних отделах живота; Снижение рН желудка,Боль в верхних отделах живота; Снижение рН желудка,плохой,2
эссенциале форте,Нарушение со стороны печени; Повышение уровня аланинаминотрансферазы; Боль в верхних отделах живота; Снижение рН желудка; Повышение артериального давления; неожиданных головных болей; Жажда; Астения; Сомнолентность; Гепатит G; зашкаливать сердце; Тошнота,Нарушение со стороны печени; Повышение уровня аланинаминотрансферазы; Боль в верхних отделах живота; Снижение рН желудка; Повышение артериального давления,"плохой, частые побочные реакции",2
микстура кватера,,,хороший,2
элеутерококка экстракт,Снижение артериального давления,Снижение артериального давления,"плохой, частые побочные реакции",3
беллатаминал,Снижение артериального давления; Головокружение; Ночная потливость; Боль; Головная боль; Гипакузия; Боль в глазу; Мигрень; Нарушение походки; Боль в верхних отделах живота; Сомнолентность; Нарушение психики; Сердцебиение; Сухость во рту,Снижение артериального давления; Головокружение; Ночная потливость; Боль; Головная боль,"плохой, частые побочные реакции",3
стрезам,Диспепсия; Сомнолентность; Тахикардия; Нежелательная лекарственная реакция; Абстинентный синдром,Диспепсия; Сомнолентность; Тахикардия; Нежелательная лекарственная реакция; Абстинентный синдром,"плохой, частые побочные реакции",4
белара,Настроение измененное; Головная боль,Настроение измененное; Головная боль,плохой,2
хелпекс антиколд,Боль; Нарушение со стороны почек; Почечная боль,Боль; Нарушение со стороны почек; Почечная боль,"плохой, не помогает",5
пектолван,"Сыпь, эритематозная; Гиперчувствительность","Сыпь, эритематозная; Гиперчувствительность","плохой, частые побочные реакции",2
колдфри,,,хороший,1
риниколд,Сомнолентность; Повышение артериального давления; Дискомфорт в голове; Боль; Мышечная слабость,Сомнолентность; Повышение артериального давления; Дискомфорт в голове; Боль; Мышечная слабость,плохой,4
инфлювак,Повышенная температура тела; Недомогание; Озноб; Миалгия; Дисфония; Кашель; Пирексия; Ринорея; Першение в горле; Артралгия; Чихание; Воспаление в месте инъекции; Эритема; Сомнолентность; Астения; Боль; Рвотные позывы; Головокружение,Повышенная температура тела; Недомогание; Озноб; Миалгия; Дисфония,"плохой, частые побочные реакции",5
кавинтон,Тахикардия; Боль в животе; Головная боль; Частота сердечных сокращений выше нормы; Повышение артериального давления; Патология желудочно-кишечного тракта; Снижение артериального давления; Гипотензия; Бессонница,Тахикардия; Боль в животе; Головная боль; Частота сердечных сокращений выше нормы; Повышение артериального давления,"плохой, частые побочные реакции",5
нообут ic,Зависимость; Дискомфорт; Диспепсия; Абдоминальный дискомфорт; Тошнота,Зависимость; Дискомфорт; Диспепсия; Абдоминальный дискомфорт; Тошнота,"хороший, но есть побочные реакции",4
ренни,Рвота; Привкус продукта; Запор; Тошнота; Остеомаляция; Гипестезия глотки,Рвота; Привкус продукта; Запор; Тошнота; Остеомаляция,"плохой, частые побочные реакции",2
фитогипноз,,,хороший,3
исмижен,Боль в ротоглотке (орофарингеальная); Пирексия,Боль в ротоглотке (орофарингеальная); Пирексия,плохой,5
бензилбензоат (эмульсия),Крапивница; Асцит; Гиперчувствительность; Периферический отек,Крапивница; Асцит; Гиперчувствительность; Периферический отек,"плохой, частые побочные реакции",4
спрегаль,Крапивница; Асцит; Гиперчувствительность; Периферический отек; Зуд,Крапивница; Асцит; Гиперчувствительность; Периферический отек; Зуд,"хороший, но есть побочные реакции",4
пиона уклоняющегося настойка,Сомнолентность; Нежелательная лекарственная реакция; Акародерматит; Депрессия; Похмелье,Сомнолентность; Нежелательная лекарственная реакция; Акародерматит; Депрессия; Похмелье,"хороший, но есть побочные реакции",1
гриппол плюс,Зуд; Крапивница; Легочный саркоидоз; Синдром Лёфгрена; Отек в месте инъекции; Раздражение горла; Заложенность носа; Нарушение со стороны глотки,Зуд; Крапивница; Легочный саркоидоз; Синдром Лёфгрена; Отек в месте инъекции,плохой,5
фармацитрон,Сомнолентность; Гипергидроз; Диспепсия; Сухость во рту,Сомнолентность; Гипергидроз; Диспепсия; Сухость во рту,"хороший, но есть побочные реакции",2
фармацитрон форте,Сомнолентность,Сомнолентность,"хороший, но есть побочные реакции",3
календула,Раздражение горла; Боль кожных покровов; Зуд,Раздражение горла; Боль кожных покровов; Зуд,"плохой, частые побочные реакции",4
орвирем,"Гиперчувствительность; Сыпь; Рвота; Сыпь, макулезная; Эритема; Диарея; Боль; Боль в животе; Отек лица; Переносимость препарата; Снижение аппетита; Пирексия; Тошнота","Гиперчувствительность; Сыпь; Рвота; Сыпь, макулезная; Эритема","плохой, частые побочные реакции",4
анафранил,Неусидчивость; Колебания артериального давления; Увеличение веса; Расстройство зрения; Сердцебиение; Эректильная дисфункция; Тахикардия; Мышечная слабость,Неусидчивость; Колебания артериального давления; Увеличение веса; Расстройство зрения; Сердцебиение,"плохой, частые побочные реакции",4
этаперазин,Неусидчивость; Расстройство зрения; Мышечная слабость,Неусидчивость; Расстройство зрения; Мышечная слабость,"плохой, частые побочные реакции",4
хлорфенирамин,,,хороший,2
колдакт флю плюс,,,хороший,1
анальгин,Сомнолентность; Головная боль; Боль в верхних отделах живота; Абдоминальный дискомфорт; Боль; Потеря сознания; Гастроптоз; Рвота; Чувство дискомфорта в груди; Ощущение инородного тела; Тошнота,Сомнолентность; Головная боль; Боль в верхних отделах живота; Абдоминальный дискомфорт; Боль,"плохой, частые побочные реакции",3
rainbow light prenatal one,Боль в верхних отделах живота; Патология желудочно-кишечного тракта,Боль в верхних отделах живота; Патология желудочно-кишечного тракта,"плохой, частые побочные реакции",5
пневмо 23,Ушная инфекция; Повышенная температура тела; Пирексия,Ушная инфекция; Повышенная температура тела; Пирексия,"плохой, не помогает",2
сонмил,Сомнолентность; Низкое качество сна; Головная боль; Тошнота; Вялость; Брадифрения; Припухлость лица; Переносимость препарата; Отечность; Отек век,Сомнолентность; Низкое качество сна; Головная боль; Тошнота; Вялость,"хороший, но есть побочные реакции",3
ликопид,Астения; Артралгия; Повышенная температура тела; Боль; Сыпь; Боль со стороны спины; Спинальная боль; Боль в животе; Рвота; Боль в конечности; Нарушение походки; Миалгия; Двигательное нарушение; Вялость; Расстройство зрения; Низкое качество сна,Астения; Артралгия; Повышенная температура тела; Боль; Сыпь,"плохой, не помогает",2
берлиприл 10,Боль в верхних отделах живота; жуткие головные боли,Боль в верхних отделах живота; жуткие головные боли,плохой,2
ацикловир белупо,Сухая кожа; Чувство жжения; Эксфолиация кожи; Дерматит аллергический,Сухая кожа; Чувство жжения; Эксфолиация кожи; Дерматит аллергический,"хороший, но есть побочные реакции",4
эхинацеи настойка,Озноб; Гиперчувствительность; Эритема,Озноб; Гиперчувствительность; Эритема,"хороший, но есть побочные реакции",5
сальвагин,Чувство жжения; Вагинальные выделения,Чувство жжения; Вагинальные выделения,"плохой, частые побочные реакции",4
спазмалгон,Боль в верхних отделах живота; Тошнота,Боль в верхних отделах живота; Тошнота,плохой,2
смекта,"Запор; Боль в верхних отделах живота; Сыпь, макулезная; Тошнота; Рвота; Гиперчувствительность; Отек лица; Дерматит; Нарушение дефекации; Отравление; Диспепсия; Боль в животе","Запор; Боль в верхних отделах живота; Сыпь, макулезная; Тошнота; Рвота","плохой, частые побочные реакции",3
но-шпа,Тошнота; Боль в верхних отделах живота; Боль в животе; Снижение аппетита; Бледность; Недомогание; Головокружение; Головная боль; неожиданных головных болей; Жажда; Повышение уровня аланинаминотрансферазы; Астения; Сомнолентность; Гепатит G; зашкаливать сердце; Нарушение со стороны печени; Гипестезия,Тошнота; Боль в верхних отделах живота; Боль в животе; Снижение аппетита; Бледность,"плохой, частые побочные реакции",1
дексаметазон,Отек; Панкреатит; Увеличение веса; Дискомфорт в эпигастральной области; замедляет метаболизм обмен веществ пищеварение; Усиление аппетита; Гепатит,Отек; Панкреатит; Увеличение веса; Дискомфорт в эпигастральной области; замедляет метаболизм обмен веществ пищеварение,"плохой, частые побочные реакции",5
гипотиазид,Отек,Отек,"плохой, частые побочные реакции",1
иммуноглобулин,Эксфолиация кожи,Эксфолиация кожи,плохой,4
мелатонин,Необычные сновидения; Настроение измененное; Боль в области молочных желез; Нарушение гормонального уровня; Паническая реакция; Боль; Головная боль; Головокружение; Тиннитус; Тошнота; Сухость во рту; Расстройство зрения; Чувство опьянения; Плохое самочувствие,Необычные сновидения; Настроение измененное; Боль в области молочных желез; Нарушение гормонального уровня; Паническая реакция,"плохой, частые побочные реакции",3
протаргол,Заложенность носа; Сухость в носу; Головная боль; Ангиоотек; Крапивница; Головокружение; Зуд; Анафилактический шок; Дерматит атопический; Сомнолентность; Боль кожных покровов; Дисгевзия; Парестезия глотки,Заложенность носа; Сухость в носу; Головная боль; Ангиоотек; Крапивница,"хороший, но есть побочные реакции",1
суперчистотел,"Чувство жжения; Боль кожных покровов; Боль в месте применения; Папиллома кожи; Химический ожог; Десквамация в месте применения; Кожная язва; Шрам в месте применения; Зуд; Пигментация, нарушение; Сыпь, макулезная; Эритема; случайно капнула на запястье получила ожог; Отек; Термический ожог; Ожог в месте применения",Чувство жжения; Боль кожных покровов; Боль в месте применения; Папиллома кожи; Химический ожог,"плохой, частые побочные реакции",3
бензилбензоат,Боль кожных покровов; Эксфолиация кожи,Боль кожных покровов; Эксфолиация кожи,"плохой, частые побочные реакции",1
витамины kid's formula,Зуд; Дерматит аллергический,Зуд; Дерматит аллергический,"плохой, частые побочные реакции",5
витамины иммуно,Зуд; Дерматит аллергический,Зуд; Дерматит аллергический,"плохой, частые побочные реакции",1
грипаут,Сомнолентность,Сомнолентность,"плохой, частые побочные реакции",1
аспирин,"Фотодерматоз; Гиперчувствительность; Сыпь; Снижение уровня протромбина; Эпистаксис; Токсическое воздействие на желудочно-кишечный тракт; Сыпь, макулезная; Кровоизлияние; Боль в ротоглотке (орофарингеальная); Тошнота",Фотодерматоз; Гиперчувствительность; Сыпь; Снижение уровня протромбина; Эпистаксис,"плохой, не помогает",5
дифферин,Зуд; Боль кожных покровов; Приливы крови; Ощущение жара; Увеличение веса; Гипергидроз; Сердцебиение; Артралгия; Низкое качество сна; Прилив жара; Сухая кожа,Зуд; Боль кожных покровов; Приливы крови; Ощущение жара; Увеличение веса,"плохой, частые побочные реакции",3
differin,Зуд; Боль кожных покровов; Приливы крови; Сухая кожа,Зуд; Боль кожных покровов; Приливы крови; Сухая кожа,"плохой, частые побочные реакции",1
фитолизин,,,хороший,5
рескью ремеди,Гиперчувствительность,Гиперчувствительность,"плохой, частые побочные реакции",5
йод,Тошнота; Раздражение горла; Зубная боль; Боль в месте инъекции; Непереносимость препарата; Нарушение походки; Ощущение холода; Плач; Бессонница,Тошнота; Раздражение горла; Зубная боль; Боль в месте инъекции; Непереносимость препарата,"плохой, не помогает",4
новокоине,,,хороший,1
семакс,Ажитация; Расстройство сна,Ажитация; Расстройство сна,"хороший, но есть побочные реакции",1
метилурацил,Запор; Боль в животе,Запор; Боль в животе,плохой,4
цераксон,"Гиперчувствительность; Расстройство сна; Сыпь; Одышка; Боль в месте инъекции; Конверсионное расстройство; Раздражительность; Отек лица; Запор; Жажда; Потеря сознания; Сыпь, макулезная; Дисгевзия; Увеличение веса; Депрессия; Боль в верхних отделах живота; Тахикардия; Гипергидроз; Стенокардия; Прилив жара; Плач; Астения; Головокружение; Сухость во рту",Гиперчувствительность; Расстройство сна; Сыпь; Одышка; Боль в месте инъекции,плохой,5
геделикс,Сухость в горле,Сухость в горле,"хороший, но есть побочные реакции",3
пертуссин,Сухость в горле,Сухость в горле,"плохой, частые побочные реакции",3
синекод,Сухость в горле,Сухость в горле,"плохой, частые побочные реакции",5
антигриппин анви,Боль в верхних отделах живота; Повышенная температура тела; Ринорея; Кашель; Диарея; Абдоминальный дискомфорт; Рвота; Тошнота,Боль в верхних отделах живота; Повышенная температура тела; Ринорея; Кашель; Диарея,плохой,4
halls,Недомогание; Тошнота,Недомогание; Тошнота,"плохой, частые побочные реакции",2
бадяга,Гематома; Эритема; Приливы крови; Сухая кожа,Гематома; Эритема; Приливы крови; Сухая кожа,"плохой, частые побочные реакции",1
джаз,Менструальное нарушение; Увеличение веса,Менструальное нарушение; Увеличение веса,плохой,1
джаз плюс,Менструальное нарушение; Увеличение веса,Менструальное нарушение; Увеличение веса,плохой,2
меркурид,,,хороший,3
кедровый антигриппин,,,"плохой, не помогает",3
фастум гель,Боль кожных покровов,Боль кожных покровов,"плохой, частые побочные реакции",3
матарен плюс,Боль кожных покровов,Боль кожных покровов,"плохой, частые побочные реакции",3
нимесил,Мечтательность; Сомнолентность; Гастрит; Гепатомегалия; Дисгевзия; Диспепсия; Эрозивный гастрит; Желудочно-кишечная боль; Патология желудка,Мечтательность; Сомнолентность; Гастрит; Гепатомегалия; Дисгевзия,плохой,5
найз,Сомнолентность; Диспепсия; Мечтательность; Гастрит; Боль в верхних отделах живота; Астения; Снижение уровня сознания; Дискомфорт; Патология желудка,Сомнолентность; Диспепсия; Мечтательность; Гастрит; Боль в верхних отделах живота,"плохой, частые побочные реакции",1
бетадин,Чувство жжения; Ощущение жжения в вульвовагинальной области; Вагинальные выделения; Отек влагалища; Влагалищное кровоизлияние; Абдоминальный дискомфорт; Сухость в вульвовагинальной области; Поллакиурия; Боль в животе; Боль внизу живота,Чувство жжения; Ощущение жжения в вульвовагинальной области; Вагинальные выделения; Отек влагалища; Влагалищное кровоизлияние,"плохой, не помогает",5
бепантен,Сыпь; Периферический отек; Чувство жжения,Сыпь; Периферический отек; Чувство жжения,плохой,3
валериана форте,Брадифрения,Брадифрения,плохой,1
ципрофлоксацин,Гипестезия; Пирексия; Диарея; сильнейшими судорогами всего тела; Головокружение; Рвота; Чувство дискомфорта в груди; Асфиксия; Тошнота; Мышечные спазмы,Гипестезия; Пирексия; Диарея; сильнейшими судорогами всего тела; Головокружение,плохой,1
цефалоспорин,,,плохой,1
ципролет,Астения,Астения,плохой,1
диазепам,Головная боль,Головная боль,"хороший, но есть побочные реакции",4
седасен,,,хороший,5
седасен форте,Сомнолентность,Сомнолентность,"хороший, но есть побочные реакции",4
комбигрипп,Крапивница; Сыпь,Крапивница; Сыпь,"хороший, но есть побочные реакции",5
касторовое масло,Ячмень; Гиперчувствительность; Пузырь; Зуд в глазу; Гиперсекреторное слезоотделение; Отек век; Отечность глаз; Мадароз,Ячмень; Гиперчувствительность; Пузырь; Зуд в глазу; Гиперсекреторное слезоотделение,плохой,2
когитум,Ажитация; Психомоторная гиперактивность; Энурез; стала хуже спать; Нарушение со стороны желчного пузыря; Боль в животе; Аномальное поведение; Плаксивость,Ажитация; Психомоторная гиперактивность; Энурез; стала хуже спать; Нарушение со стороны желчного пузыря,"плохой, не помогает",3
вазелин,,,хороший,1
сондокс,Тошнота; Усталость; Задержка мочи; Сухость во рту; Астения; Головная боль,Тошнота; Усталость; Задержка мочи; Сухость во рту; Астения,"плохой, не помогает",1
деринат,,,"плохой, не помогает",1
трифтазин,Неусидчивость; Гипертонус; Ажитация; Нарушение походки; Скелетно-мышечная скованность,Неусидчивость; Гипертонус; Ажитация; Нарушение походки; Скелетно-мышечная скованность,"плохой, не помогает",2
нафтизин,Сухость в носу; Переносимость препарата; Чувство жжения; Зависимость; Паническая атака; Чувство угнетения; Большая депрессия; Чувство тревоги; Чувство отчаяния; Суицидальные мысли,Сухость в носу; Переносимость препарата; Чувство жжения; Зависимость; Паническая атака,плохой,3
сульфацил,Чувство жжения; Боль кожных покровов; Боль в глазу; Боль; Раздражение глаз,Чувство жжения; Боль кожных покровов; Боль в глазу; Боль; Раздражение глаз,"плохой, частые побочные реакции",5
виброцил,Отечность; Ринорея; Чувство жжения,Отечность; Ринорея; Чувство жжения,плохой,3
називин,Отечность,Отечность,"плохой, не помогает",2
прегнил,Оофорит; Боль; Боль внизу живота,Оофорит; Боль; Боль внизу живота,"плохой, частые побочные реакции",5
тавегил,Сомнолентность; Головокружение; Боль; Боль со стороны спины; Спинальная боль; Боль в животе; Сердцебиение; Стенокардия; Частота сердечных сокращений выше нормы; Гиперчувствительность; Бронхоспазм,Сомнолентность; Головокружение; Боль; Боль со стороны спины; Спинальная боль,"плохой, частые побочные реакции",1
