indication,drugs,drugs_top5,drugs_best,fold
Психологическое расстройство,афобазол; валериана; тенотен; ново-пассит; глицин; тенотен детский; феназепам; глицисед; фенибут; стрезам; амитриптилин; пустырник; персен; пиона уклоняющегося настойка; корвалол; сонмил; глицин форте; седавит; фенобарбитал; барбовал; глиатилин,афобазол; валериана; тенотен; ново-пассит; глицин,нет хороших лекарств,5
Нарушение засыпания,мелаксен; мелатонин; феназепам; сомнол; вернисон; азалептин; хлорпротиксен; глицин; валериана; сонные,мелаксен; мелатонин; феназепам; сомнол; вернисон,нет хороших лекарств,5
Инфекция дыхательных путей,иммунофлазид; виферон; амиксин; кипферон; генферон; ринза; парацетамол; афлубин; анаферон; анаферон детский,иммунофлазид; виферон; амиксин; кипферон; генферон,нет хороших лекарств,5
Дерматит аллергический,эриуса; ксизал; имунорикс; фенистил; фенистил пенцивир; смекта,эриуса; ксизал; имунорикс; фенистил; фенистил пенцивир,нет хороших лекарств,2
Ухудшение состояния,метронидазол; панавир инлайт; виру-мерц серол; хилак-форте; линкомицин; париет; эманера; альмагель; нексиум; амитриптилина гидрхлорид; амитриптилин,метронидазол; панавир инлайт; виру-мерц серол; хилак-форте; линкомицин,нет хороших лекарств,3
Сальпингоофорит,хилак-форте; линкомицин; цифран,хилак-форте; линкомицин; цифран,нет хороших лекарств,4
Ощущение жара,парацетамол; анвимакс; нурофен; римантадин; лаферобион; катадолон форте; артрозан; ангрикапс; ацетилсалициловая кислота; амизон; виферон; колдрекс; орвирем; амиксин; флюколд; лемсип лимон; антигриппин; антифлу детский; эргоферон; аскорбиновая кислота; ринзасип с витамином с; тавегил; ибуфен д; ибуфен д для детей,парацетамол; анвимакс; нурофен; римантадин; лаферобион,ангрикапс; ринзасип с витамином с,4
Головная боль,"парацетамол; пирацетам; колдрекс; цитрамон; амиксин; антигриппин; нурофен; колдрекс хотрем; римантадин; глицин; антигриппин максимум; ринза; ингавирин; терафлю; найз; луцетам; анвимакс; валериана; колдрекс максгрипп; циннаризин; аскорбиновая кислота; кагоцел; кавинтон; амизон; эффералган; омепразол; гриппостад; танакан; витамин с; риниколд; тенотен детский; винпоцетин; энцефабол; бисопролол; пустырник; витамин -магний; седальгин плюс; бальзам золотая звезда; афобазол; кортексин; пантогам; рапидол; ангримакс; билобил форте; ноотропил; винпотропил; максиколд рино; колдакт флю плюс; флюколд; антигриппин анви; хелпекс антиколд; нейрокс; афлубин; аспирин; фезам; кавинтон форте; лемсип лимон; йод; септолете; фарингосепт; метопролол; ангрикапс; ацетилсалициловая кислота; триган-д; валокордин; корвалол; вечернее биокор драже; дексаметазон; гипотиазид; аспаркам; фуросемид; комбигрипп; лимон; ринофлуимуцил; виброцил; називин; нообут ic; ацикловир; нурофен форте; ринзасип; супрастин; зомиг; оралсепт; ингалипт; стрептоцид; стрепсилс; максиколд; атаракс; нобен; азитромицин; донормил; эналаприл; виферон; анаферон; седальгин-нео; нолгрипп; компливит кальций д3; компливит кальций д3 форте; кальцид + магний; амизон макс; эргоферон; нурофен для детей; парацетамол детский; лавомакс; арбидол; глиатилин; мелаксен; фенибут; линкас орви; орви колд; гриппоцитрон хот ""лимон""; грипаут; стугерон; милдронат; гриппол плюс; диазолин; сульфадиметоксин; галидор; тофф плюс; нольпаза; цитофлавин; амитриптилин; гофен; пятирчатка; профлосин; омник окас; ибупром; но-шпа; амигренин; азопт; доларен; ибупрофен; некст; тамифлю; кремний; амлодипин; алотендин; натрий; магний; ибуклин; ринорус; ацекардол; новирин; фервекс; пиона уклоняющегося настойка; zolmigren; золмигрен; цераксон; лидокаин; рексетин",парацетамол; пирацетам; колдрекс; цитрамон; амиксин,"гриппостад; танакан; рапидол; колдакт флю плюс; ангрикапс; лимон; максиколд; нолгрипп; линкас орви; орви колд; гриппоцитрон хот ""лимон""; ацекардол",2
Усталость,глицин; грандаксин; афобазол; мелаксен; элеутерококка экстракт; беллатаминал; нообут ic; валериана; леривон; ноопепт; ангрикапс; персен; микстура кватера; кавинтон; фенибут; rainbow light prenatal one; сонмил; мелатонин; l-тироксин берлин-хеми; ибупрофен; кофеин бензоат натрия; лемсип лимон; гидазепам; паксил; пароксетин; меновален; нейрокс; соннат; диазолин; будь здоров; супрадин; витрум пренатал; сальбутамол; милдронат; флуоксетин; прозак; фенилэфрин; ринза; парацетамол; таурин; седавит; пустырник; пустырника настойка; вечернее биокор драже; добранич; когитум,глицин; грандаксин; афобазол; мелаксен; элеутерококка экстракт,ангрикапс; микстура кватера; меновален; фенилэфрин,4
Нарушение памяти,пирацетам; ноотропил; циннаризин; нобен; магне b6; мемоплант; билобилом; билобил форте; сондокс; арлеверт; энцефабол; глицин; громецин; кортексин; фенибут; луцетам; биотропил; мексидол; мема; эглонил; сульпирид; грандаксин; меmoria; омарон,пирацетам; ноотропил; циннаризин; нобен; магне b6,нет хороших лекарств,1
Синдром височно-нижнечелюстного сустава,artra; артру,artra; артру,нет хороших лекарств,4
Чувство тревоги,"афобазол; валериана; глицин; феназепам; тенотен; тенотен детский; пустырник; корвалол; персен; клоназепам; атаракс; флуоксетин; прозак; тералиджен; велафакс; гидазепам; эглонил; барбовал; фенибут; вечернее биокор драже; пиона уклоняющегося настойка; ново-пассит; панангин; валкодарин; пустырника настойка; элеутерококка экстракт; беллатаминал; нообут ic; мидокалм; анафранил; глицисед; фиточай ""ключи здоровья; фито-чай; энцефабол; седасен; седасен форте; мелаксен; ципралекс; добранич",афобазол; валериана; глицин; феназепам; тенотен,"фиточай ""ключи здоровья; фито-чай; седасен",3
Крапивница,лоратадин; супрастин; фенистил; фенистил пенцивир; смекта; эуфиллин; кетотифен; виферон; амиксин; ксизал,лоратадин; супрастин; фенистил; фенистил пенцивир; смекта,нет хороших лекарств,3
Ангиоотек,лоратадин; супрастин,лоратадин; супрастин,нет хороших лекарств,4
Диарея,кипферон; виферон; бактериофаг; смекта; эргоферон; линексом; линекс; сенна; дюфалак; лаферобион; мезим; лофлатил; лоперамид; лизобакт; аквалор; генферон лайт; генферон; дузофарм,кипферон; виферон; бактериофаг; смекта; эргоферон,лофлатил; лизобакт,5
Назофарингит,кагоцел; иммунофлазид; антигриппин; афлубин; ринзасип с витамином с; ринзасип; ангримакс; парацетамол; фармацитрон форте; римантадин; флюколд; ирс 19; називин; аскорутин; эсберитокс; тонзилгон н; гриппферон; аквалор; стрезам; ингавирин; генферон лайт; эргоферон; амбробене; лоратадин; ацц; ацикловир; амиксин; назоферон,кагоцел; иммунофлазид; антигриппин; афлубин; ринзасип с витамином с,ринзасип с витамином с; эсберитокс,5
"Зуд, генитальный",фуцис; пимафуцин,фуцис; пимафуцин,нет хороших лекарств,3
Першение в горле,амиксин; анвимакс; парацетамол; терафлю; амизон; тофф плюс; циклоферон; кальция глюконат; аскорбиновая кислота; колдрекс; колдрекс хотрем; тонзилгон н; виферон; оралсепт; ингалипт; стрептоцид; стрепсилс; фенилэфрин; хлорфенамин; максиколд рино; фурацилин; деринат; эргоферон; ацц ; геломиртол; гипорамин; кагоцел; афлубин; гриппофлю; гриппофлю экстра; парацетомол; супракс солютаб; колдрекс максгрипп; назоферон; фарингосепт; арбидол; эриспирус,амиксин; анвимакс; парацетамол; терафлю; амизон,кальция глюконат; фенилэфрин; хлорфенамин; гриппофлю; гриппофлю экстра; парацетомол,2
Расстройство зрения,эмоксипин; эмокси-оптик; ирифрин; глицин; пирацетам; таурин,эмоксипин; эмокси-оптик; ирифрин; глицин; пирацетам,нет хороших лекарств,2
Кровоизлияние в глаз,эмокси-оптик; эмоксипин,эмокси-оптик; эмоксипин,нет хороших лекарств,2
Гиперсекреторное слезоотделение,офтан дексаметазон; эмокси-оптик; эмоксипин; стопгрипан; иммунал; антигриппин; цитрину; зодак; гропринозин; амиксин; амизон макс; максиколд рино; цетрилев; флюколд; гриппофлю; гриппофлю экстра; ингавирин; ринзасип; валериана; азинтроп; флоксал; тобрекс; эглонил; сульпирид; амитриптилин; афобазол; авамис; назаваль; ринза; ципрофарм; эргоферон; левомицетин; настоем ромашки,офтан дексаметазон; эмокси-оптик; эмоксипин; стопгрипан; иммунал,гриппофлю; гриппофлю экстра,2
Астенопия,эмокси-оптик; эмоксипин,эмокси-оптик; эмоксипин,нет хороших лекарств,2
Напряженное состояние,валериана; глицин; пустырник; афобазол; фенибут; атаракс; тенотен; меласон; донормил; корвалол; эмокси-оптик; эмоксипин; ново-пассит; мидокалм; персен; ноофен; глицин форте; пустырника экстракт; боярышник; димедрол; валемидин; релиум; диазепам; нейрокс; адаптол; феназепам; фитосед; барбовал; флуоксетин; прозак; амитриптилин; пустырника настойка,валериана; глицин; пустырник; афобазол; фенибут,меласон; ноофен; пустырника экстракт; валемидин; релиум,3
Колебания артериального давления,бисопролол; допегит; галидор; анвимакс; валокордин; пустырник; корвалол; валериана; стрезам; гипертония стоп; кардиофит настойка; кардио-микс; луцетам; пирацетам; энап; лориста; пиона уклоняющегося настойка; лозартан,бисопролол; допегит; галидор; анвимакс; валокордин,гипертония стоп; кардиофит настойка; кардио-микс,2
Артралгия,"антигриппин; аллопуринол; живокост (босвелия; живокости с пчелиным ядом; анвимакс; мильгамма; силурон; диклофенак; наклофен; мидокалм; фастум гель; матарен плюс; ингавирин; колдрекс; кальций; лоратадин; парацетамол; ангримакс; римантадин; аскорбиновая кислота; рутин; ацикловир; эдем; ваксигрип; инфлювак; флюколд; амизон; афлубин; пластырь; пластырь vitaplast ""украинский с перцем №1; кагоцел; ибупром; метотрексат",антигриппин; аллопуринол; живокост (босвелия; живокости с пчелиным ядом; анвимакс,силурон,2
Сыпь,ацикловир; ликопид; ацикловир форте; эдем; димедрол; бриллиантовый зеленый; ксизал; дермовейт; драполеном; локоид; фенистил; ла-кри; омепразол; виферон; кагоцел; окавакс; протефлазид; зовиракс; роаккутан; эдем детский; базирон; базирон ас; актовир; цефекон д; седасен; седасен форте; амиксин; фенистил пенцивир; полисорб мп; антигриппин; сотрет; макмирор; posay effaclar duo+; эразабан; варилрикс; бифиформ; acidophilus; эриуса; диазолин; клензит; эмолиум п; бепантен; био-макс; берокка плюс,ацикловир; ликопид; ацикловир форте; эдем; димедрол,зовиракс; эдем детский; актовир; седасен; макмирор; acidophilus,1
Чихание,анаферон; гриппферон; анаферон детский; афлубин; амизон; ринза; назонекс; назаваль; оксолин; виферон; цитрину; зодак; кромогексал; римантадин; иммунофлазид; ирс 19; иммунал; генферон; назоферон; авамис; амиксин; эдем детский; эдем; cold in cough; полиоксидоний; натрия хлорид раствор; арбидол; гропринозин; бальзам золотая звезда; лемсип лимон; парацетомол; эргоферон; вибуркол; инфлюцид; цераксон; риниколд; цетрилев; амизон макс; кагоцел; лавомакс; антигриппин; ингавирин; ринзасип; орвирем; цетиризин-obl; цетрин; интерферон; кипферон; экстракт эхинацеи; генферон лайт; флюконазол; перекись водорода; донормил; ринофлуимуцил; називин; эриспирус,анаферон; гриппферон; анаферон детский; афлубин; амизон,эдем детский; cold in cough; парацетомол; вибуркол; экстракт эхинацеи,5
Патология нервной системы,пантогам; кортексин; ацикловир; герпевир; ацикловир сандоз; фосфалюгель; пирацетам,пантогам; кортексин; ацикловир; герпевир; ацикловир сандоз,герпевир; ацикловир сандоз,3
Гиперчувствительность,ингавирин; кларитин; диазолин; зиртек; галстен; супрастин; тонзилгон н; эмисамиум йодид; амизон; инфанрикс; акдс; пентаксим; лаферобион; виферон; лоратадин; эрсефурил; гидрокортизон; цитрину; зодак; цетиризин-тева,ингавирин; кларитин; диазолин; зиртек; галстен,нет хороших лекарств,5
Вирусная инфекция,эмисамиум йодид; амизон; тонзилгон н; лаферобион; анаферон; анаферон детский; виферон; тамифлю,эмисамиум йодид; амизон; тонзилгон н; лаферобион; анаферон,нет хороших лекарств,4
Боль,"парацетамол; граммидин с анестетиком нео; найз; триган-д; кетонал; эффералган; нурофен; но-шпа; диклофенак; мидокалм; нимесил; хелпекс антиколд; аскорбиновая кислота; индометацин; кетопрофен; кетоналовых; ципрофарм; колдрекс хотрем; ингавирин; ринза; зомиг; катадолон; амиксин; пирацетам; мовалис; galstena; галстен; прокто-гливенол; гиалган фидия; комбилипен; колдрекс; налгезин; кетанов; димедрол; гриппостад; тантум верде; ацикловир; лидокаин; дротаверин; катадолон форте; артрозан; эспол; доларен; нимесулид; римантадин; новирин; антигриппин максимум; антигриппин; колдрекс максгрипп; спазмалгон; смекта; фастум гель; матарен плюс; ринзасип с витамином с; финалгон; рапидол; левомицетин; лоперамид; риниколд; флюколд; арбидол; цитрамон; лирика; трамадол; гриппоцитрон хот ""лимон""; мезим; панкреатин; алфлутоп; пластырь; пластырь vitaplast ""украинский с перцем №1; наклофен; рапимед; серрата; левомиколь; сератту; офор; прегабалин; омез; меновазин; сирдалуд; гемороль; лоратадин; кеторол; оки; анальгин; тиамин; перодоксин; компливит; комплигам в; ибупром; димексид; нитроксолин; канефрон н; эспумизан; риабал; амигренин; хондроксид; энтеросгель; ибупрофен; суматриптан; дегсалкин; дексалгин; анвимакс; ацетилсалициловая кислота; гидазепам; холисал; горлоспас; кетолонг; афлубин; меркурид; комбигрипп; нурофен форте; ринзасип; тексамен; фервекс; тонзилгон н; ингалипт; милдронат; седасен; седасен форте; гидрокортизон; викс актив симптомакс; vicks active sinex; темпалгин; жанин; визанна; терафлекс; седальгин-нео; виалем; виаль; пустырник; мелоксикам; виснола; de-nol; де-нол; скинорен; орвирем; фенирамин; фармацитрон; фенилэфрин; фенибут; силурон; луцетам; витамин с; асепта; амелотекс; кокарнит; хондрогард; тофф плюс; омепразол; карсил; уролесан; хлорпротиксен; сонмил; ирс 19; амоксициллин; клавулановая кислота; линекс; амоксиклав; лизобакт; эргоферон; аквалор; релиф; настойку корня аира; настойка прополиса; супрастин; эмоксипин; колдакт флю плюс; виферон; полижинакс; нанопласт; пантенол; афобазол; аугментин; йод; септолете; фарингосепт; некст; метотрексат; artra; артра; эльбона; артру; эманера; альмагель; нексиум; азитромицин; сумамед; biobran; орасепта; протефлазид; ацекардол; дузофарм; прозерин; рексетин; валериана",парацетамол; граммидин с анестетиком нео; найз; триган-д; кетонал,"гриппостад; ринзасип с витамином с; рапидол; гриппоцитрон хот ""лимон""; панкреатин; дегсалкин; дексалгин; кетолонг; меркурид; седасен; фенилэфрин; силурон; лизобакт; колдакт флю плюс; biobran; ацекардол",5
Боль в конечности,алмагель; диклофенак; смекта; но-шпа; эффералган; нурофен; парацетамол; барлитион; актовегин; галидор; лирика; трамадол; гепариновая мазь; ацетилсалициловая кислота; ацекардин; аспирин; комбилипен; дузофарм,алмагель; диклофенак; смекта; но-шпа; эффералган,нет хороших лекарств,5
"Инфекция, вызванная вирусом герпеса",ацикловир; актовир; тималин,ацикловир; актовир; тималин,актовир,1
Герпес половых органов,ацикловир,ацикловир,нет хороших лекарств,5
Оральный герпес,ацикловир; фенистил пенцивир; фенистил; герпевир; зовиракс; ацикловир белупо; ациклостад; агерп; амиксин; ацикловир сандоз; оксолин; эразабан; протефлазид; перекись водорода; герперакс; ацикловир форте,ацикловир; фенистил пенцивир; фенистил; герпевир; зовиракс,герпевир; зовиракс; ациклостад; агерп; ацикловир сандоз,5
Абдоминальный дискомфорт,левомицетин; фосфоглив форте; фосфоглив; эссенциале форте; микролакс; фестал; бисакодил; димедрол; лоперамид; пустырник; пустырника настойка; магне b6; магнелис; мезим; панкреатин; алмагель; гастрацид; маалокс; регулакс пикосульфат; регулакс; гемороль; нольпаза,левомицетин; фосфоглив форте; фосфоглив; эссенциале форте; микролакс,фестал; панкреатин,3
проблемой зубов,левомицетин,левомицетин,нет хороших лекарств,3
Зубная боль,найз; налгезин; кетанов; нимесил; ибупром; левомицетин; рапидол; амоксиклав; доларен; ибупрофен; дротаверин; но-шпа; омез,найз; налгезин; кетанов; нимесил; ибупром,рапидол,3
Головокружение,пирацетам; ноотропил; циннаризин; нобен; фенибут; кавинтон; корвалол; винпотропил; луцетам; стугерон; клоназепам; омарон; цитрамон; танакан; нообут ic; кортексин; l-тироксин берлин-хеми; гидазепам; паксил; пароксетин; ценнаризин; стрезам; мелаксен; грандаксин; арлеверт; меmoria; терафлю; ринзасип; фезам; гофен; пятирчатка; нурофен; антигриппин; профлосин; омник окас; винпоцетин; кавинтон форте; атаракс; валериана; пустырник; но-шпа; глицин; тенотен детский; био-макс; берокка плюс; бетагистин,пирацетам; ноотропил; циннаризин; нобен; фенибут,танакан,4
Диспепсия,гавискон; ренни; маалокс; алмагель; гастрацид; эманера; фосфалюгель; печаевские; риопан; омез; церукал; бисакодил; хилак-форте; гасталом; гастал; смекта; неосмектин; альмагель; нексиум; креон; нольпаза; сенаде,гавискон; ренни; маалокс; алмагель; гастрацид,гасталом; гастал,4
Мышечная слабость,кортексин; мексидол; ингавирин; арбидол; циннаризин; цитрамон,кортексин; мексидол; ингавирин; арбидол; циннаризин,нет хороших лекарств,3
Воспаление миндалин,азитромицин; сумамед; граммидин с анестетиком нео; йокс; гексорал; ингалипт; антигриппин,азитромицин; сумамед; граммидин с анестетиком нео; йокс; гексорал,йокс,4
Воспаление,"полижинакс; ацикловир; граммидин с анестетиком нео; тантум верде; метронидазол; ромашка; ципролет; базирон ас"" 5%; базирон; генферон; бетадин; мирамистин; галавит; дексаметазон; омез; ципромед; эльжина; индометацин; доксициклин; трихопол; бриллиантовый зеленый; кипферон; йокс; антигриппин максимум; антигриппин; гриппостад; сумамед; афлубин; календула; тонзилгон н; протефлазид; анальгин; димедрол; антигриппин анви; ацетилсалициловая кислота; аскорбиновая кислота; кальция глюконат; нистатиновая мазь; нистатин; изопринозин; ингавирин; гидрокортизон; тержинан; альтабор; клензит; пантенол; нормакс; полиоксидоний; линекс; азитромицин; кагоцел; тридерм; серрата; левомиколь; сератту; офор; нимесил; меновазин; спирт; ликопид; фенистил; фенистил пенцивир; флуомизин; кетонал; генферон лайт; бифидумбактерин; нарине; хилак-форте; линексом; лактофильтрум; тетрациклин; норфлоксацин; юнидокс солютаб; леволет; левофлоксацин",полижинакс; ацикловир; граммидин с анестетиком нео; тантум верде; метронидазол,галавит; йокс; гриппостад; кальция глюконат; нистатиновая мазь; нистатин; альтабор,3
Учащенное моргание,винпоцетин; пирацетам; фенибут; ноофен; нообут ic; тералиджен,винпоцетин; пирацетам; фенибут; ноофен; нообут ic,ноофен,3
Гипертонус,пантогам; винпоцетин; пирацетам; энцефабол; кортексин,пантогам; винпоцетин; пирацетам; энцефабол; кортексин,нет хороших лекарств,3
Тик,фенибут; ноофен; нообут ic; винпоцетин; пирацетам; пантогам; энцефабол; тералиджен; ново-пассит,фенибут; ноофен; нообут ic; винпоцетин; пирацетам,ноофен,1
плохо спала,"алора; фиточай ""ключи здоровья; фито-чай; мебикар ic; вечернее биокор драже; феназепам; тенотен; тенотен детский; biobran","алора; фиточай ""ключи здоровья; фито-чай; мебикар ic; вечернее биокор драже","фиточай ""ключи здоровья; фито-чай; мебикар ic; biobran",3
Расстройство поведения,глицин; тенотен детский; кортексин для детей; кортексин; новокаин; тенотен; аминалон; алора; ключи здоровья; киндинорм; афобазол; пустырник; валериана; мема; пантогам; хлорпротиксен; дантинорм бэби; нурофен,глицин; тенотен детский; кортексин для детей; кортексин; новокаин,новокаин; ключи здоровья; киндинорм,1
Рвота,кипферон; виферон; тенотен детский; зинат; акдс; генферон лайт; эргоферон; генферон; афлубин; иммунал,кипферон; виферон; тенотен детский; зинат; акдс,нет хороших лекарств,2
Бактериальная инфекция,амиксин,амиксин,нет хороших лекарств,1
Перевозбуждение,ключи здоровья; валериана; анвифен,ключи здоровья; валериана; анвифен,ключи здоровья,1
проблемы с кишечником,сенна; дюфалак; бифидобактерии; лактобактерин; бифидум; биовестин; лактофильтрум; бифиформ; полифепан; аципол; регулакс пикосульфат; регулакс,сенна; дюфалак; бифидобактерии; лактобактерин; бифидум,нет хороших лекарств,2
Запор,дюфалак; микролакс; сенна; бисакодил; слабилен; анаферон; анаферон детский; виферон; эглонил; сульпирид; анестезол; бифидумбактерин; эспумизан; сенаде; кассия; александрийский лист; acidophilus; трубочках; газоотводная трубка; боботик; бронхипрет; глицериновые свечи,дюфалак; микролакс; сенна; бисакодил; слабилен,acidophilus,3
Миалгия,колдрекс; мидокалм; лимон; анальгин; димедрол; антигриппин анви; ацетилсалициловая кислота; аскорбиновая кислота; кальция глюконат; амиксин; нурофен; хелпекс антиколд; кагоцел; терафлю; ваксигрип; инфлювак,колдрекс; мидокалм; лимон; анальгин; димедрол,лимон; кальция глюконат,5
Одышка,милдронат; сальбутамол; l-тироксин берлин-хеми; беталок зок; ксимелин; корвалол; капотен; назоферон; мидокалм; cold balm; бальзам золотая звезда; турбухалер-симбикорт; беродуал; беротеком; лоратадин; эуфиллин; кетотифен; тонгинал; фитосед; барбовал; ацетилцистеин; ацц; африн; ксилометазолин; эреспал; галазолин; нафтизин; новирин; витамин с; фервекс,милдронат; сальбутамол; l-тироксин берлин-хеми; беталок зок; ксимелин,cold balm,5
Ринит,ринофлуимуцил; ципромед; аква марис; амоксиклав; ксимелин; антигриппин; протаргол; ринза; тамифлю; оциллококцинум; пиносол; аквалор; нафтизин; мирамистин; азитромицин; сафоцид; ксизал; цетрин; дезринит; синуслифт; кандибиотик; флемоклав солютаб,ринофлуимуцил; ципромед; аква марис; амоксиклав; ксимелин,пиносол; сафоцид,3
Озноб,ингавирин; афобазол; лемсип лимон; антигриппин; парацетамол; римантадин; арбидол; ринза; терафлю; колдакт флю плюс; новирин; лимон; хелпекс антиколд; атаракс; валериана; ацикловир; эдем; виферон; нолгрипп; гидазепам; стопгрипан; анвимакс; колдрекс; колдрекс максгрипп; лемсип черная смородина; амиксин; кагоцел; гриппостад,ингавирин; афобазол; лемсип лимон; антигриппин; парацетамол,колдакт флю плюс; лимон; нолгрипп; лемсип черная смородина; гриппостад,3
Флатуленция,бронхипрет; саб симплекс; бифиформ; фенхель; газоспазам; трубочках; газоотводная трубка; боботик,бронхипрет; саб симплекс; бифиформ; фенхель; газоспазам,нет хороших лекарств,3
Боль в животе,эспумизан; бифидумбактерин; симектикон; плантекс; коликид; укропная водичка; фосфалюгель; дротаверин; но-шпа; риабал; трубочках; газоотводная трубка; боботик; саб симплекс; бифиформ; лактобактерин; линексом; микролакс; бак-сет беби; баксет; куплатон; фенхель; фитолакс; нимесил; найз; оксолин; жанин; визанна; галавит; galstena; галстен; дюфалак; зинат; фурадонин; acidophilus; полижинакс; бронхипрет,эспумизан; бифидумбактерин; симектикон; плантекс; коликид,галавит; acidophilus,1
Вшивость,педикулен; чемеричной водой; чемеричную воду; paranix; lavinal; лавинал; дягтерным мылом; дустовым мылом; параникс; нюду; пара плюс,педикулен; чемеричной водой; чемеричную воду; paranix; lavinal,нет хороших лекарств,1
Воспаление глотки,тонзилгон н; интерферон; мирамистин; азитромицин; локоид; эффералган; бепантен; ибуфен; ибуфен д; сафоцид; амоксиклав; ирс 19; оралсепт; орасепта; сумамед; панавир; панавир инлайт,тонзилгон н; интерферон; мирамистин; азитромицин; локоид,сафоцид,1
Снижение веса,сибазон; флуоксетин; гедозепаму; сульпирид; редуксин мет; gnc women's ultra mega; орасепта; biobran,сибазон; флуоксетин; гедозепаму; сульпирид; редуксин мет,biobran,1
слизь,ацетилцистеин; ринофлуимуцил,ацетилцистеин; ринофлуимуцил,нет хороших лекарств,4
Эпистаксис,викасол,викасол,нет хороших лекарств,4
Употреблявший табачные изделия в прошлом,табекс; адаптол; nikorette; табакса; никоретте; allen carr,табекс; адаптол; nikorette; табакса; никоретте,нет хороших лекарств,1
Блефароспазм,глицисед; пустырник; валериана; фенибут; ново-пассит,глицисед; пустырник; валериана; фенибут; ново-пассит,нет хороших лекарств,4
Сердцебиение,корвалол; гидазепам; конкор; нурофен; l-тироксин берлин-хеми; стрезам; амиксин; паксил; пароксетин; мелаксен; афобазол; беталок зок; кордалоном; анаприлин; корвалтаб экстра,корвалол; гидазепам; конкор; нурофен; l-тироксин берлин-хеми,нет хороших лекарств,1
Частота сердечных сокращений выше нормы,конкор; глицин; амиксин; нурофен; коронал; бисопролол; корвалол,конкор; глицин; амиксин; нурофен; коронал,нет хороших лекарств,5
Прорезывание зубов,ибуфен; дентинокс; холисал; бебидент; камистад; калгель; виферон; ибуфен д; дантинорм бэби; нурофен; киндинорм; локоид; эффералган; бепантен; седальгин-нео; бифиформ; ибуфен д для детей; генферон лайт; панадол,ибуфен; дентинокс; холисал; бебидент; камистад,киндинорм,3
Расстройство сна,валериана; сомнол; глицин; донормил; сонмил; вечернее биокор драже; фенотропил; афобазол; фенибут; ново-пассит; энцефабол; феназепам; релиум; гидазепам; мелаксен; имован; корвалол; фитосед; барбовал; амитриптилина гидрхлорид; амитриптилин,валериана; сомнол; глицин; донормил; сонмил,релиум,4
Стоматит,холисал; ингавирин; имудоном,холисал; ингавирин; имудоном,нет хороших лекарств,2
Эритема десен,холисал,холисал,нет хороших лекарств,2
Изъязвление в полости рта,холисал,холисал,нет хороших лекарств,2
Боль во рту,холисал,холисал,нет хороших лекарств,3
Пузырь на губе,ацикловир; холисал; ацикловир форте; герперакс; белосалик,ацикловир; холисал; ацикловир форте; герперакс; белосалик,нет хороших лекарств,3
Паническая реакция,афобазол; гидазепам; феназепам; валериана; глицин; атаракс; флуоксетин; прозак; корвалол; спитомин; пиона уклоняющегося настойка; леривон; паксил; пароксетин; клоназепам; велафакс; барбовал; грандаксин; персен; амитриптилин; ципралекс,афобазол; гидазепам; феназепам; валериана; глицин,нет хороших лекарств,1
Пузыри в ротоглотке,горлоспас,горлоспас,нет хороших лекарств,1
Нарушение со стороны перегородки носа,асинис; вокара; афлубин,асинис; вокара; афлубин,асинис; вокара,5
Острое стрессовое расстройство,рексетин; валериана; норматенс,рексетин; валериана; норматенс,нет хороших лекарств,5
"Инфекция, вызываемая бактериями рода Helicobacter",клацид,клацид,нет хороших лекарств,2
Полип желчного пузыря,клацид,клацид,нет хороших лекарств,2
Черепно-мозговая травма,глицин; пантогам; пирацетам,глицин; пантогам; пирацетам,нет хороших лекарств,1
