standart_names,ADR,Raiting
феназепам,"{'Нет ADR': 31, 'Повышенная температура тела': 1, 'Озноб': 1, 'Головная боль': 1, 'Артралгия': 1, 'Заложенность носа': 1, 'Боль в ротоглотке (орофарингеальная)': 1}","Хороший, но есть ADR"
фенибут,"{'Нет ADR': 88, 'Повышенная температура тела': 2, 'Озноб': 1, 'Бессонница': 3, 'Глазные выделения': 1, 'Отечность глаз': 1, 'Агрессия': 1}",Плохой: частные побочные реакции
фенилэфрин,{'Нет ADR': 8},Плохой: частные побочные реакции
фенистил,"{'Нет ADR': 15, 'Конверсионное расстройство': 1}",Плохой: частные побочные реакции
фенистил пенцивир,"{'Нет ADR': 4, 'Конверсионное расстройство': 1}",Плохой: не помогает
фенобарбитал,"{'Нет ADR': 7, 'Ринорея': 1}",Плохой: частные побочные реакции
фервекс,"{'Боль в ротоглотке (орофарингеальная)': 1, 'Кашель': 1, 'Нет ADR': 11}",Плохой: не помогает
физраствор,{'Нет ADR': 3},Плохой
фитолизин,{'Нет ADR': 1},Плохой
флавозид,"{'Боль': 1, 'Нет ADR': 18, 'Стресс': 1, 'Раздражительность': 1, 'Нервозность': 1, 'Бессонница': 1}",Плохой: не помогает
флюколд,"{'Нет ADR': 75, 'Профилактика': 4, 'Боль в ротоглотке (орофарингеальная)': 1, 'Ринорея': 1, 'Гиперсекреторное слезоотделение': 1, 'Чихание': 1, 'Озноб': 1, 'Расстройство поведения': 1, 'Бессонница': 2, 'Повышение уровня холестерина в крови': 1}","Хороший, но есть ADR"
фурацилин,{'Нет ADR': 2},Плохой
хелпекс антиколд,"{'Нет ADR': 83, 'Бессонница': 1, 'Профилактика': 2}",Плохой: частные побочные реакции
хиберикс,"{'Нет ADR': 14, 'Пирексия': 1, 'Кашель': 1, 'Ринорея': 1}","Хороший, но есть ADR"
хлогексидин,{'Нет ADR': 2},Плохой
хьюмер,"{'Нет ADR': 1, 'Повышенная температура тела': 1}",Плохой
цeфотаксим,{'Нет ADR': 1},Плохой
ценнаризин,"{'Ринорея': 1, 'Нет ADR': 1, 'Эритема глотки': 1}",Плохой
цераксон,{'Нет ADR': 20},Плохой: не помогает
церебролизат,{'Нет ADR': 10},Хороший
циклоферон,"{'Нет ADR': 74, 'Профилактика': 6, 'Ринорея': 1, 'Нарушение засыпания': 1, 'Дискомфорт в голове': 1}",Плохой: частные побочные реакции
циннаризин,{'Нет ADR': 9},Плохой: частные побочные реакции
цитовир-3,{'Нет ADR': 6},Хороший
цитрамон,{'Нет ADR': 2},Плохой: не помогает
чистонос спрей,"{'Нет ADR': 9, 'Психологическое расстройство': 1, 'Раздражительность': 1, 'Агрессия': 1}",Плохой: частные побочные реакции
эвкабал,"{'Нет ADR': 19, 'Нервозность': 1, 'Паническая реакция': 1, 'Бессонница': 1}","Хороший, но есть ADR"
эвкабал бальзам с,"{'Нет ADR': 12, 'Нервозность': 1, 'Психологическое расстройство': 1, 'Раздражительность': 1}","Хороший, но есть ADR"
эглонил,{'Нет ADR': 12},Плохой: не помогает
экстракт календулы,{'Нет ADR': 1},Плохой
экстракт эхинацеи,{'Нет ADR': 5},Плохой: частные побочные реакции
энгистол,{'Нет ADR': 29},Плохой: частные побочные реакции
энцефабол,"{'Нет ADR': 80, 'Профилактика': 1, 'Заложенность носа': 1, 'Ринорея': 3}","Хороший, но есть ADR"
эразабан,{'Нет ADR': 3},Плохой
эргоферон,"{'Нет ADR': 234, 'Боль': 1, 'Пирексия': 1, 'Повышенная температура тела': 1, 'Кашель': 6, 'Заложенность носа': 1, 'Отек': 1, 'Миалгия': 1, 'Першение в горле': 1, 'Ринорея': 3, 'Воспаление': 2, 'Профилактика': 5, 'Боль в ротоглотке (орофарингеальная)': 1, 'Стресс': 1, 'Напряженное состояние': 1, 'Невроз': 1, 'Чувство тревоги': 1, 'Паническая реакция': 1}",Плохой: частные побочные реакции
эреспал,{'Нет ADR': 1},Плохой
этиловый спирт,{'Нет ADR': 4},Плохой: не помогает
эхинацеи настойка,"{'Кашель': 2, 'Нет ADR': 18, 'Ринорея': 1}",Плохой: не помогает
эхинацея,"{'Нет ADR': 49, 'Профилактика': 1, 'Озноб': 2, 'Нервозность': 1}","Хороший, но есть ADR"
